iter	RMSE
0	69995.14147
1	62765.58261
2	58162.04283
3	53688.45324
4	50167.23902
5	46506.61874
6	43688.64357
7	41107.38412
8	39124.71631
9	37198.18753
10	35586.25833
11	33819.46702
12	32471.41188
13	31239.14115
14	30254.31651
15	28967.20422
16	28034.7508
17	27370.66793
18	26729.22687
19	25952.72131
20	25264.58787
21	24645.79281
22	24259.79149
23	23887.57178
24	23430.72715
25	23027.16675
26	22566.961
27	22223.90375
28	21944.08469
29	21768.04687
30	21581.77769
31	21233.10828
32	20884.85732
33	20692.65665
34	20424.23738
35	20173.55077
36	19994.4329
37	19758.0296
38	19603.96348
39	19370.84187
40	19278.11081
41	19226.54037
42	19066.35695
43	18917.51239
44	18661.50129
45	18565.82951
46	18406.71604
47	18324.05104
48	18129.58078
49	18081.2815
50	17876.50338
51	17825.48732
52	17628.24937
53	17498.96936
54	17269.14067
55	17145.43892
56	17016.55481
57	16871.42875
58	16719.15075
59	16544.8704
60	16391.45955
61	16219.91179
62	16185.71656
63	16151.72527
64	16120.55015
65	16030.47125
66	16000.07987
67	15851.28189
68	15685.43265
69	15532.92728
70	15379.1498
71	15196.18883
72	15159.88965
73	15040.77534
74	14922.91207
75	14861.61668
76	14752.49866
77	14595.97292
78	14466.46696
79	14320.66567
80	14206.25058
81	14165.9838
82	14124.32843
83	14014.58862
84	13940.58343
85	13842.975
86	13782.32613
87	13677.86014
88	13532.79803
89	13413.09552
90	13298.30977
91	13270.04026
92	13184.78879
93	13107.69315
94	12996.6049
95	12941.44778
96	12845.60794
97	12749.34048
98	12634.89154
99	12583.15938
100	12535.76575
101	12432.2912
102	12410.03935
103	12342.28644
104	12261.18895
105	12162.26964
106	12148.89655
107	12105.94177
108	12072.64236
109	12011.9526
110	11920.89009
111	11868.59746
112	11843.44011
113	11741.49651
114	11733.30063
115	11615.43232
116	11607.09498
117	11500.69056
118	11421.51467
119	11364.18503
120	11299.42886
121	11242.81095
122	11235.81061
123	11134.30973
124	11097.55325
125	11059.33609
126	10983.5606
127	10908.88757
128	10839.47169
129	10788.37611
130	10739.93051
131	10663.99128
132	10647.16434
133	10574.18759
134	10502.48935
135	10419.4368
136	10384.94083
137	10307.93326
138	10265.47636
139	10203.54254
140	10197.71775
141	10190.25496
142	10138.35179
143	10066.80944
144	10014.13764
145	9992.684151
146	9916.014953
147	9840.291763
148	9802.237348
149	9780.502309
150	9730.524396
151	9685.108888
152	9592.586587
153	9519.482298
154	9487.320128
155	9416.905446
156	9373.525501
157	9294.61729
158	9266.845788
159	9224.000573
160	9144.816599
161	9107.231576
162	9053.381917
163	9048.663073
164	9004.449919
165	8950.190109
166	8897.539335
167	8825.392134
168	8794.752244
169	8748.673625
170	8708.267604
171	8641.368714
172	8582.981939
173	8533.487477
174	8500.337319
175	8480.085864
176	8434.890389
177	8385.034657
178	8349.977526
179	8312.145217
180	8308.009969
181	8276.537019
182	8229.862992
183	8204.899404
184	8200.751852
185	8129.416595
186	8111.356968
187	8103.127941
188	8088.415119
189	8055.213502
190	8052.660596
191	8002.115312
192	7954.988881
193	7895.086248
194	7891.705715
195	7845.413229
196	7841.084619
197	7836.348204
198	7783.367233
199	7725.629538
