iter	Passed	Remaining
0	155	30868
1	164	16248
2	173	11410
3	183	8969
4	193	7532
5	204	6598
6	227	6284
7	248	5966
8	262	5567
9	278	5297
10	294	5059
11	304	4774
12	313	4507
13	326	4340
14	340	4193
15	354	4077
16	370	3992
17	382	3871
18	392	3743
19	402	3621
20	412	3512
21	422	3415
22	432	3326
23	441	3237
24	452	3164
25	464	3108
26	473	3035
27	486	2990
28	500	2953
29	512	2905
30	527	2875
31	537	2822
32	547	2772
33	557	2719
34	566	2669
35	576	2624
36	586	2583
37	596	2542
38	606	2501
39	620	2481
40	630	2444
41	641	2412
42	650	2376
43	660	2341
44	670	2309
45	681	2279
46	690	2248
47	701	2220
48	710	2189
49	720	2162
50	732	2138
51	741	2111
52	757	2100
53	770	2083
54	785	2071
55	796	2049
56	806	2022
57	816	1999
58	826	1975
59	836	1952
60	846	1927
61	856	1907
62	867	1885
63	873	1856
64	880	1828
65	890	1807
66	902	1790
67	911	1770
68	921	1749
69	931	1730
70	941	1711
71	952	1693
72	962	1674
73	972	1655
74	982	1637
75	992	1619
76	1003	1603
77	1015	1589
78	1031	1580
79	1044	1566
80	1057	1553
81	1070	1540
82	1081	1524
83	1092	1508
84	1102	1491
85	1112	1474
86	1122	1457
87	1132	1441
88	1142	1424
89	1152	1408
90	1162	1392
91	1172	1375
92	1182	1360
93	1203	1356
94	1224	1353
95	1240	1343
96	1250	1328
97	1260	1312
98	1272	1298
99	1282	1282
100	1292	1267
101	1303	1252
102	1313	1236
103	1323	1222
104	1337	1210
105	1351	1198
106	1366	1187
107	1380	1176
108	1392	1162
109	1402	1147
110	1412	1132
111	1424	1119
112	1434	1104
113	1445	1090
114	1455	1075
115	1468	1063
116	1482	1051
117	1493	1037
118	1503	1023
119	1513	1009
120	1524	995
121	1535	981
122	1545	967
123	1557	954
124	1568	941
125	1580	928
126	1593	916
127	1606	903
128	1617	890
129	1628	876
130	1639	863
131	1650	850
132	1661	836
133	1674	824
134	1688	812
135	1699	799
136	1711	786
137	1723	774
138	1733	760
139	1744	747
140	1754	734
141	1764	720
142	1775	707
143	1787	695
144	1798	682
145	1809	669
146	1820	656
147	1830	643
148	1841	630
149	1851	617
150	1862	604
151	1871	591
152	1881	578
153	1891	565
154	1903	552
155	1915	540
156	1926	527
157	1937	514
158	1947	502
159	1957	489
160	1968	476
161	1979	464
162	1990	451
163	1999	438
164	2011	426
165	2023	414
166	2033	401
167	2043	389
168	2054	376
169	2064	364
170	2076	352
171	2085	339
172	2097	327
173	2108	315
174	2119	302
175	2130	290
176	2141	278
177	2151	265
178	2167	254
179	2183	242
180	2198	230
181	2214	219
182	2230	207
183	2246	195
184	2262	183
185	2277	171
186	2288	159
187	2299	146
188	2308	134
189	2320	122
190	2330	109
191	2339	97
192	2350	85
193	2364	73
194	2377	60
195	2388	48
196	2399	36
197	2409	24
198	2420	12
199	2430	0
